 1/2" NPT/M20x1,5
"A": 475,0 MM
"DBSE": 100mm; 2 CUBOS GRANDES
"DBSE": 140mm; 2 CUBO CHEIO
"DBSE": 140mm; 2 CUBOS GRANDES
"DBSE": 140mm; 2 CUBOS NORMAIS
"DBSE": 180mm; 2 CUBOS GRANDES
"DBSE": 180mm; 2 CUBOS NORMAL
#10
#10 Screw, 0.2" ID, 0.334" OD
(0-100PSI RANGE)
(0-60PSI RANGE)
(1) SIDE 24" X 24"
(1**mm length)
(100PSI RANGE, 70PSI SET POINT)
(140mm length)
(60PSI RANGE, 50PSI SET POINT)
(FOR SHOW, FSIP TRAILER)
(NM125S – 85 mm shaft) / 3.346”
(NM148S – 115 mm shaft) / 4.528”
(SET AT 80 PSIG ON INCREASE)
(SLIP ON WELDING) MM STANDARD
(WP-FSIP)
**.** x *.* x *.**
**.**" wide x ***.**" Long
*.** x *.** x *.**
*CARTRIDGE*
*MM
..50-13 316 S.S
.0625"*1"
.1.095" O.D.
.10-24
.10-32
.12 NPT X 3.0
.12 NPT X 6.0
.125 FEMALE BOTH ENDS
.125" NPT PIPE THREAD
.125" THK
.13 NPT 9 OZ
.13NPT * 6.0
.1-8
.1875"*2"
.25
.25  NPT FEMALE-FEMALE
.25 *.875/.25-.5
.25 NPT
.25 NPT X 2.0
.25 NPT X 3.0
.25 NPT X 5.0
.25 NPT X 6.0 BRASS
.25 NPTF
.25 PIPE .25-20 UNC THD W/NUTS
.25 TUBE X .25 NPT
.25 X .75
.25 X 1.0
.25 X 1.5
.25 x 2.0
.25 X 2.75
.25 X 4.0
.25" FNPT
.25" NPT
.25" NPT FEMALE S.S.
.25" NPT X 10.0"
.25" STYLE 1335
.25" Thk.
.25" X 2.5" X 13.50"
.25" X 3.25" X 30"
.25"NPT
.25*.125
.25*2.25*8
.25*2.25.*8
.25*3.25*14.75LG
.25*3.25*29.75LG STL
.25*3.75*53.75LG
.25*7.12*30.00
.250 NPT
.250"
.250-20*.500
.250-20*.750
.250NPT FEMALE/FEMALE 316 S.S.
.250NPT FEMALE/FEMALE BRASS
.25-20
.25-20 * .63
.25-20 * .75
.25-20 * 1.25
.25-20 * 2.0
.25-20*.50
.25HP 1680/5.8RPM SK1SI50/H10
.25HP 1750RPM,90V,56C
.25HP 5.8 RPM 300:1 RATIO
.25in x 21.5in x 6in
.25in x 44.25in x 6in
.25KW/.33HP 600RPM IEC71-B14
.25NPT
.25NPT TYPE B
.25NPT TYPE B S.S.
.25NPTF X .125NPTM
.25THK 36" WIDE
.270" x 2.5" x 2.5"
.31-18
.31-18 * .88
.31-18 * 1.0
.31-18 * 1.25
.31-18 * 1.50
.31-18 * 1.75
.31-18 * 2.5
.3125
.3125"
.3125*30
.3125-18 * 1.000 PLT
.33HP 119RPM 14.40:1 RATIO
.33HP 439RPM 3.92:1 RATIO
.33HP, 436RPM, 3.92:1 RATIO
.33HP, 439RPM, 3.92:1 RATIO
.33HP, 600RPM, 2.85:1 RATIO
.33HP,1710RPM, 56C )
.33HP,1750RPM,90V,56C
.33HP,436RPM, 3.92:1 RATIO
.33HP,586/1720RPM,230/460,2.92:1
.375 x 2 x 4
.375" NPT
.375*1.625/.375-1
.375-16*2.500LG
.375-16*6LG
.375-16NC*1.250LG
.38 NPT X 6.0
.38" THK x 3.0"x4.0"x 30.0" LG
.38" THKx 3.0"x 4.0"x 34.00" LG
.38*3.0*4.0*20.00
.38*3.0*4.0*35
.38-16
.38-16 * .75
.38-16 * 1.0 GR5
.38-16 * 1.25
.38-16 * 1.50
.38-16 * 1.7
.38-16 * 1.75
.38-16 * 2.0
.38-16 * 2.00
.38-16 * 2.75
.43-14
.4375
.4375" Dia. X .4688" Tall
.5" X 22.0" X 46.00"
.5*3.50*20.00
.5*3.50*30.00
.5*3.50*35
.5*4*20.00
.5*4*30.00
.5*4*35
.5*4.50*20.00
.5*4.50*30.00
.5*4.50*35
.5*7.12*23.00
.5*7.12*32.06
.50
.50 PIPE .25-20 UNC THD W/NUTS
.50 PIPE .25-20UNC THD W/NUTS
.50 SOCKET 90 DEG.
.50 STRAIGHT PIPE SCHEDULE 80
.50" NPT
.50" NPT FEMALE x .50" MALE
.50" THK X 3.50" X 51" LONG
.50" THK X 4.50" X 51" LONG
.50" THK X 7.12" X 51" LONG
.50" THK. X 4.0" X 51.0"
.50" X 11.00" X 11.50"
.50" x 2.0" x 4.0"
.50"THK X 3"X 4"X 51" LONG
.50"THK. X 3"W X 60" LONG
.50*15*24.5
.50*7.12*46.00
.500*1.875/.625-1.25
.500*1.875/.625-1.25 PLT
.500*17.875*18.00
.500-13
.500-13*1.50/.500-.750 PLT
.500-13*2.25/.625"-1.25 PLT
.500-13*2.75/.625-1.75 PLT
.500-20 UNF-2A ALLOY STL ASTM193
.50-10 x 7.5" LONG
.50-13
.50-13 * 1.25
.50-13 * 1.50
.50-13 * 2.0
.50-13 * 2.25
.50-13 * 2.50
.50-13 * 2.75
.50-13 * 6.0
.50-13 x 2.25
.50-13*1.75
.50-20 FEMX.50 DIA
.50-20 PLTD
.50HP 1800RPM 56C
.50HP 1800RPM VS56C
.50HP 370 RPM 4.62:1 RATIO
.50HP 370RPM 4.62:1 RATIO
.50HP, 313RPM, 5.50:1 RATIO
.50HP, 589RPM, 2.92:1 RATIO
.50HP, 604RPM, 2.85:1 RATIO
.50HP, 88RPM, 20:1 RATIO
.50HP,1750RPM,90VDC,56C
.50HP,215RPM, 8.0:1 RATIO
.50HP,272RPM, 6.43:1 RATIO
.50in x 13.00" x 13.50"
.50in x 7.00in x 8.5in
.50NPT TYPE B
.50NPT TYPE C
.50NPT;19mm;120IEC
.50THK*4.00*15.125LG
.50THK*4.00*60.30LG
.50THK*4.00*81.50LG
.5HP 361 RPM 4.77:1 RATIO 575 V.
.5HP 380RPM 3.58:1 RATIO 575 V.
.5HP 669RPM 2.57:1 RATIO
.5HP TO 3HP IP65 MEMA 4X
.5HP, 1800RPM, 12VDC, 56C
.5HP,149RPM, 11.56:1 RATIO
.5HP,1720/583RPM, 2.95:1 RATIO
.5HP,1800RPM,12VDC,56C
.5HP,1800RPM,230/460V,56TC
.5HP,215RPM, 8.00:1 RATIO 575V
.5HP,412RPM, 4.17:1 RATIO T14
.625 x 18.00 x 18.25
.625 x 20.00 x 23.00
.625" BORE X .19" KEY
.625" O.D.
.625" X 10.0" X 26.50"
.625" X 10.50" X 21.50"
.625" X 11.0" X 13.50"
.625" X 11.0" X 27.00"
.625" X 11.50" X 18.00"
.625" X 12.00" X 12.00"
.625" x 12.00" x 18.00"
.625" X 13.00" X 27.50"
.625" X 13.97" X 16.50"
.625" X 14.00" X 14.50"
.625" X 14.00" X 27.50"
.625" X 17.00" X 17.38"
.625" X 18.00" X 15.25"
.625" X 18.00" X 18.36"
.625" X 18.50" X 23.00"
.625" X 19.00" X 21.00"
.625" X 19.50" X 24.00"
.625" X 21.375" X 23.00"
.625" X 22.0" X 28.00"
.625" X 22.00" X 26.50"
.625" X 22.00" X 33.50"
.625" X 22.00" X 40.00"
.625" X 22.5" X 27.00"
.625" X 24.00" X 27.50"
.625" X 25" X 31" (Notched)
.625" X 26.00" X 26.50"
.625" X 26.50" X 31.00"
.625" X 27.50" X 12.00"
.625" X 27.50" X 32.00"
.625" X 27.50" X 33.00"
.625" x 27.50" x 35.00"
.625" X 27.50" X 36.00"
.625" X 27.50" X 38.00"
.625" X 27.50" X 41.00"
.625" X 27.50" X 42.00"
.625" X 27.50" X 45.00"
.625" X 28.00" X 33.00"
.625" X 28.00" X 37.00"
.625" X 28.50" X 40.00"
.625" X 30.00" X 40.00"
.625" X 30.00" X 47.00"
.625" X 30.50" X 45.00"
.625" X 33.00" X 34.00"
.625" X 33.50" X 42.00"
.625" X 34.00" X 36.00"
.625" X 8.00" X 22.50"
.625" X 8.50" X 10.0"
.625" x12.00" x 12.50"
.625" x14.00" x 15.00"
.625*11
.625*14.88*10.00
.625*2.625/.625-1.5
.625*3.25/1-1.5
.625-11
.625-11 * 10.00
.625-11 18-8
.625-11 UNC*1.50/SHIM
.625-11 UNC*10.00
.625-11 X 10"
.625-11-3'LG
.625-11UNC*10.00
.625-11UNC*10.00LG 2.0BEND 3
.625DIA 12.00LG 2.00BEND 3.0
.625in x 14in x 15in
.625in x 18.25in x 18.50in
.625in x 18.25in x 20in
.625in x 19.5in x 22in
.625in x 22.0in x 28.50in
.625in x 23in x 45.45in
.625in x 24.0in x 27.50in
.625in x 27.00in x 27.50in
.625in x 27.5in x 40in
.625in x 28in x 50in
.63 BORE X .18 KEY
.63"THK. X 3" X 14" LONG
.63-11
.63-11 * 1.0
.63-11 * 2.0
.63-11 * 2.75
.63-11 * 3.0
.63-11 * 3.25
.63-11 * 3.50
.63-11 * 4.50
.63-11*2.25LG
.63-18
.75 BORE X .18 KEY
.75 HP 370RPM 4.62:1 RATIO
.75 KW 3000 RPM IP55
.75 TYPE 8-1T DBL C/T FPM
.75" Dia. x 22.50" Long
.75*2.75/.75-1.75
.750"-10
.750"-10 X 7.5"
.750-10 316 S.S
.750-10 X 7.5"  316 S.S
.750-10 x 7.5" LONG
.750-10 X 72" 316 S.S
.75-10
.75-10 * 1.75
.75-10 * 2.25
.75-10 * 2.50
.75-10 * 3.25
.75-10 * 4.0
.75-10 * 6.0
.75-16
.75HP 142RPM 12.06:1 RATIO
.75HP 456RPM 3.79:1 RATIO
.75HP 531RPM 3.22 RATIO
.75HP, 127RPM, 13.54:1 RATIO
.75HP,1800RPM,230/460V,56C
.75HP,60/300RPM, 5.77:1 RATIO
.82HP 61 RPM 28.39:1 RATIO
.8-32
.875 Dia.
.875*5.00*23.00
.875*5.00*32.06
.88 BORE X .18 KEY
.88 BORE X.19 KEY
.88-9
.88-9 * 2.5
.93 BORE X .25 KEY
.98" H x 1.50" SQ. 304 S.S.
--/4" 150# FF
--/6" 150# FF
/ASME B16.5/RF/special
?-232.34;0-60/H100-?;3-100;30
[ ]
[10.0_15.34_10.75__9.84_3.50]
[10.0_17.37_14.0_11.8_4.5_4.5]
[10.0_17.50_14.00_12.0_4.50_4.0]
[10.0_17.75_12.75_12.25_3.50]
[10.00_16.75_12.8_0_3.50_4.00]
[10_14.5_9.5_9_4_4]
[10_15.75_11.75_10.25_3.75_3.75]
[10_16.52_11.5_11.02_3.5_3.5]
[10_16.75_10.5_11.25_3_3]
[10_16.75_12.75_11.25_4.0_4.0]
[10_18_12_12.5_3.5_3.5]
[10_40.88_6.94]
[11.0_17.25_13.2_11.5_4.00
[11.0_18.5_15.50_12.50_4.0_6.0]
[11_17.25_12.25_11.25_4_4]
[12.125_15.69_8.25_9.2_2.5_2.75]
[12_18.5_14_12_4.5_4.5]
[12_19.5_14_13_4.5_4.5]
[13.0_22.57_15.25__15.57_4.50]
[13.62_28_24_2.0_4.50]
[13.75_2.25_.12]
[15.25_34_3.38]
[15_21.5_15.5_13.5_5_5]
[15_23_17_15_5.5_5.5]
[160,19,40,6,25,M1]
[160,19,40,8,25,M1]
[18.12_35_4.5_28_2]
[18.12_45_5.25_35.5_3]
[18.12_52_3.25_42_3.25]
[18.13_40_4.875_34.38_2.75]
[18.48_16.60_.25]
[21.12_40_5.75_32.5_3.25]
[23.41_18_.66]
[24.12_40_5.75_33_3.25]
[24.12_42_6.69]
[24.12_43_4.875_36_2.75]
[24.12_44_5.13_36_3.00]
[24.12_45.00_4.75_39.25_3.50]
[24.12_45.5_4.75_37.625_3.25]
[24.12_45_6.125_39.81_3.25]
[24.12_46_4.75_38.25_3.50]
[24.12_46_5.50_40.0_3.25]
[24.12_48_6.25]
[24.24_49_6.50_41.50_3.00]
[24.25_39_4.63]
[24_43_5.50_37_3.25]
[250,35,70,12,33,M4]
[3_6_3.125_4_1.25_1.25]
[30.12_49_6.81_39.69_3.25]
[30.12_51.0_6.81_41.0_3.25]
[30.12_52_6_43_3.25]
[30.12_57.0_3.50]
[32.12_13_5.625]
[33.12_19_6.45_10.35_2.25_2.50
[36_17_4.62]
[4.0_5.65_3.60_3.15_1.25_1.50]
[4.1_6.96_3.8_4.41_1.7_1.7]
[4.5_13.25_9,25_9.25_3.0_3.0]
[4.5_5.70_4.13_2.95_1.75_2.00]
[4.5_6.69_4.02_3.94_2_2]
[4.5_7.125_3.9_4.375_1.8_1.8]
[4.5_7.16_3.9_4.41_1.8_1.8]
[4.5_7.25_4.0_4.50_1.5_1.5]
[4.5_8.85_5.12_6.1_2_2]
[4.75_7.375_4.33_4.5_2.25_415]
[4.75_7.375_4.38_4.5_2.38_4]
[4.75_7.875_4_5_2.5_1.85]
[4.75_8.875_7.75_6_2.75_2.75]
[4_6.5_3.38_4_1.5_1.5]
[4_6.5_3.5_4_1.5_1.5]
[4_7.75_4.25_5.25_1.5_1.5]
[43.0_15.0_4.50_8.00_3.0_3.0
[44.12_13_2.25_9.00_2.0_2.0
[44.12_17.0_4.825_11.75_2.5_2.0
[48.12_15_4.25_8.50_2.50_2.50
[48.12_22_6.625]
[49.12_18_5.44_10.21_3.0_3.0
[5.0_6.94_5.8_3.94_2.5_2.5]
[5.0_7.53_6.70_4.53_2.50_2.50]
[5.0_9.69_6.25_6.69_2.25_2.25]
[5.0_9.75_6.35_6.75_2.25_2.25]
[5.2_8.3_4.9_5.2_2.5_2.5]
[5.5_7_3.5]
[5.5_8.45_4.35_5.2_1.5_2]
[5.5_9.25_6.75_6_2.5_2.5]
[5.5_9.5_5.25_6.25_2.5_2.5]
[5.5_9.5_6_6.25_2.5_2.5]
[5.75_10.33_6.25_6.70_1.75_1.75]
[5_10.75_8_7.75_2.75_2.75]
[5_10_6.75_7_2_2]
[5_10_7.75_7_2.75_2.75]
[5_11.25_6.5_8.25_2.5_2.5]
[5_11.75_6.25_8.75_2_2]
[5_7.5_4_4.5_1.5_1.5]
[5_7.75_4.25_4.75_1.5_1.5]
[5_8.25_4.375_5.25_1.5_1.5]
[5_8.25_4.875_5.25_2_2]
[5_8_6.25_5_2_2]
[5_8_6.75_5_2_2]
[5_8_6_5_2_2]
[5_9.12_7.7_6.12_2.38_2.77]
[5_9.25_5.625_6.25_2_2]
[5_9.25_5.875_6.25_2_2]
[5_9.25_8_6.25_2.75_2.75]
[5_9.3_5.5_6.3_2.5_2.5]
[5_9.3_6_6.3_2_2.5
[5_9_7.5_6_2.75_2.75]
[50.12_26.50_6.50_10.25_2.50_2.5
[52_69.25_30]
[6.0_10.2_8.8_6.7_3.0_3.0]
[6.0_10.20_8.0_6.70_3.0_2.5]
[6.0_9.70_8.70_6.20_3.0_3.0]
[6.0_9.75_8.50_6.25_3.00_2.50]
[6.00._13.0_8.50_9.50_2.25_3.25]
[6.00_13.00_8.00_9.5_3.0_3.0]
[6.1_11.03_9.125_7.48_3_2.5]
[6.1_12.41_9_8.86_3_3]
[6.50_11.63_7.25_7.88_2.50_2.50]
[6.50_8.50_6.50_5.12_2.00]
[6_10.2_7.5_6.7_3_2.5]
[6_10.2_8.8_6.7_3_3]
[6_10.25_6.75_6.75_2.25_2.25]
[6_10.5_6.75_7_2_2]
[6_11.5_6.5_7.5_2_2]
[6_12.25_7.5_8.75_2.5_2.5]
[6_12.36_7.87_8.86_3_2.5]
[6_13_8.25_9.5_2.75_2.75]
[6_9.45_7.5_5.95_3_3]
[6_9.7_8.8_6.2_3_3]
[7.0_12.0_7.75_8.0_2.50_2.75]
[7.0_13.00_8.00_9.00_3.0_3.0]
[7.0_13.25_7.50_9.25_2.0_2.0]
[7.0_13.25_9.25_9.25_3.0_3.0]
[7.0_13.84_8.25_9.84_3.50_3.50]
[7.0_9.87_8.0_5.87_3.5_3.5]
[7.00_9.63_5.31_5.63_3.00_2.50]
[7.25_10.5_4.875_6.38_1.8_1.8]
[7.25_12_6.875_7.875_2.5_2.5]
[7.25_13_7.5_8.875_2.5_2.5]
[7.3_12.06_8.53_7.88_2.50_3.50]
[7.3_13_11.25_8.85_3.5_3.5]
[7.30_13.99_9.505_9.84_3.5_3.5]
[7.5_10.75_11_6.5_3.5_3.5]
[7.5_11.34_12.30_7.09_3.5_3.0]
[7.5_12.34_12.25_8.09_3.5_3.0]
[7.5_13.11_10.20_8.86_4.0_3.0]
[7.5_13.11_12.13_8.86_3.50_3.50]
[7.5_14.09_9.50_9.84_3.00]
[7.5_14.97_10.6_10.72_3.5_3]
[7.5_18.56_14.375_13.25_4.125]
[7.50_11.34_9.45_7.09_3.00]
[7_11.25_8_7.25_3_3]
[7_11.5_7.25_7.5_2.5_2.5]
[7_11.75_10.25_7.75_3.5_3.5]
[7_11.75_10_7.75_3.5_3.5]
[7_11.75_11_7.75_3.5_3.5]
[7_12.5_10.5_8.5_3.5_3.5]
[7_12.75_10.5_8.75_3.5_3.5]
[7_12.75_12.25_8.75_3.5_3.5]
[7_12.86_10.25_8.86_3.5_3]
[7_12.86_9.37_8.86_3_3]
[7_12_10.5_8_3.75_3.75]
[7_12_6.63_8_3_3]
[7_12_6.75_8_2.5_2.5]
[7_12_7.25_8_2_2]
[7_12_8.125_8_2_2.5]
[7_13.125_10.25_9.125_3_3]
[7_13.25_7.5_9.25_2.5_2.5]
[7_13.25_9.25_9.25_3_3]
[7_13.25_9.5_9.25_2.5_2.5]
[7_13.5_9.75_9.5_3.25_3.25]
[7_13.84_9.45_9.84_3.5_3.5]
[7_13_8.125_9_3_3]
[7_13_8.5_9_3_3]
[7_13_9.25_9_3_3]
[7_14_10_10_3_3]
[7_15.25_9.25_11.25_3_3]
[7_15_7.75_11_2.5_2.5]
[7_16.5_10_12.5_3_3]
[7_9.5_8.5_5.5_3_3]
[7_9.75_8.25_5.75_2.5_2.5]
[71.13_37_11.81_27.75_7.0_7.0
[8.0_15.52_12.01_11.02_4.0_4.0]
[8.0_15.75_12.25_11.25_3.5_3.5]
[8.3_14.49_10.43_9.84_3.5_3.5]
[8.3_14.49_10_9.84_3.5_3.5]
[8.3_15.67_11.42_11.02_3.5_3.5]
[8.5_12.75_6_8_2.5_2.5]
[8.5_13.61_12_8.86_3.75_3.75]
[8.5_13.63_12.50_8.88_4.0_4.0]
[8.5_14_10.25_9.25_3_3]
[8.5_15.77_10.5_11.02_3.5_3.5]
[8.5_17.25_14.25_12.50_4.9_4.0]
[8.50._13.61_9.75_8.86_3.25]
[8.50._14.63_12.50_4.0_4.0]
[8_13.75_9.25_9.25_3_3]
[8_15.52_11.2_11.02_4.5_4.5]
[8_15.75_11.75_11.25_3.5_3.5]
[8_15_10_10.5_3.25_3.25]
[8_15_9.5_10.5_3.25_3.25]
[9.40_13.50_11.0_9.84_3.25_3.25]
[9.5_16.75_12_11.5_4_4]
[9.5_17.12_12.50_11.87_3.75]
[9.5_18.75_16.75_13.50_5.62]
[9.6_18.56_14.37_13.25_4.125]
[9.75_15.38_10.25_10.0_3.5_3.5]
[9.87_17.84_13.78_12.4_5_4]
[9_12.00_11.38_7.00_3.5_3.5]
[9_12.88_6_7.88_3_3]
[9_13.75_12.5_8.75_3.5_3.5]
[9_13_9_8_2.5_3]
[9_15.5_13_10.5_3.5_3.5]
[9_15.5_9.5_10.5_3_3]
[9_15_10.25_10_3.25_3.25]
[9_16.75_11.25_11.75_3.5_3.5]
[9_16_12_11_3.5_3.5]
[9_17.5_11.75_12.5_3.5_3.5]
[9_17.5_12.5_12.5_4_4]
[9_17_13_12_4_6.5]
[BELT DESCRIPTION]
[BUSHING DESCRIPTION]
[ENTER DATA HERE]
[SPROCKET DESCRIPTION]
]
⌀17
⌀17/simple effect
⌀30
⌀80
0 - 6 BAR 1.1/4" NPT
0 BAR 40 BAR Top/Top
0 X 1
0 x 115,0 x 36
0 X 139 X 8,1 / 0 X 209 X 8,1
0 X 23,0
0 x 50,0 x 20
0 x 8,0
0 x 9,85
0 X 9,85 / S: L= 570
